n,date,eid,pages,location,url,note
81,יוני 2008 3:25,1269668,1,scan (5).pdf p37,http://www.tapuz.co.il/blog/print.asp?EntryId=1269668,
82,יוני 2008 3:25,1270292,1,scan (5).pdf p39,http://www.tapuz.co.il/blog/print.asp?EntryId=1270292,"marker says 2p, 1 present in scan"
83,יוני 2008 3:25,1271606,1,scan (5).pdf p41,http://www.tapuz.co.il/blog/print.asp?EntryId=1271606,"marker says 2p, 1 present in scan"
84,יוני 2008 3:26,12723,1,scan (5).pdf p43,http://www.tapuz.co.il/blog/print.asp?EntryId=12723,
85,יוני 2008 3:26,1272964,2,scan (5).pdf p45-47,http://www.tapuz.co.il/blog/print.asp?EntryId=1272964,NEEDS RE-SCAN — page 3 of 3 missing
86,יוני 2008 3:27,12735,1,scan (5).pdf p49,http://www.tapuz.co.il/blog/print.asp?EntryId=12735,
87,יוני 2008 3:27,1273805,2,scan (5).pdf p51-53,http://www.tapuz.co.il/blog/print.asp?EntryId=1273805,
88,יוני 2008 3:27,1274320,2,scan (5).pdf p55-57,http://www.tapuz.co.il/blog/print.asp?EntryId=1274320,
89,יוני 2008 3:28,1274606,1,scan (5).pdf p59,http://www.tapuz.co.il/blog/print.asp?EntryId=1274606,"marker says 2p, 1 present in scan"
90,יוני 2008 0:02,1275070,2,scan (5).pdf p61-63,http://www.tapuz.co.il/blog/print.asp?EntryId=1275070,
91,יוני 2008 3:28,1275495,3,scan (5).pdf p65-69,http://www.tapuz.co.il/blog/print.asp?EntryId=1275495,
92,יוני 2008 3:29,1276444,1,scan (5).pdf p71,http://www.tapuz.co.il/blog/print.asp?EntryId=1276444,"marker says 2p, 1 present in scan"
93,יוני 2008 3:29,1276667,2,scan (5).pdf p73-75,http://www.tapuz.co.il/blog/print.asp?EntryId=1276667,
94,יוני 2008 3:29,1277476,2,scan (5).pdf p77-79,http://www.tapuz.co.il/blog/print.asp?EntryId=1277476,
95,יוני 2008 3:30,1278100,1,scan (5).pdf p81,http://www.tapuz.co.il/blog/print.asp?EntryId=1278100,"marker says 2p, 1 present in scan"
96,יוני 2008 3:30,1279000,2,scan (5).pdf p83-85,http://www.tapuz.co.il/blog/print.asp?EntryId=1279000,
97,יוני 2008 3:30,1279506,2,scan (5).pdf p87-89,http://www.tapuz.co.il/blog/print.asp?EntryId=1279506,
98,יוני 2008 3:31,1279976,2,scan (5).pdf p91-93,http://www.tapuz.co.il/blog/print.asp?EntryId=1279976,
99,יוני 2009 4:34,1471005,1,scan (5).pdf p95,http://www.tapuz.co.il/blog/print.asp?EntryId=1471005,
100,יוני 2009 11:27,1471713,1,scan (5).pdf p97,http://www.tapuz.co.il/blog/print.asp?EntryId=1471713,
101,יוני 2009 11:29,14735,1,scan (5).pdf p99,http://www.tapuz.co.il/blog/print.asp?EntryId=14735,
102,יוני 2009 11:31,1475283,1,scan (6).pdf p1,http://www.tapuz.co.il/blog/print.asp?EntryId=1475283,
103,יוני 2009 11:30,1474657,1,scan (7).pdf p1,http://www.tapuz.co.il/blog/print.asp?EntryId=1474657,
